date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Corn_N0,Corn_N1,Corn_N2,Corn_N3,Corn_N4,Corn_N5,Corn_N6
2022-01-03,O,2022-01-02 20:00:00,2022-01-03 14:20:00,2022-01-03 14:14:00,2022-01-03 14:15:00,33,,202203,202205,202207,202209,202212,202303
2022-01-04,O,2022-01-03 20:00:00,2022-01-04 14:20:00,2022-01-04 14:14:00,2022-01-04 14:15:00,32,,202203,202205,202207,202209,202212,202303
2022-01-05,O,2022-01-04 20:00:00,2022-01-05 14:20:00,2022-01-05 14:14:00,2022-01-05 14:15:00,31,,202203,202205,202207,202209,202212,202303
2022-01-06,O,2022-01-05 20:00:00,2022-01-06 14:20:00,2022-01-06 14:14:00,2022-01-06 14:15:00,30,,202203,202205,202207,202209,202212,202303
2022-01-07,O,2022-01-06 20:00:00,2022-01-07 14:20:00,2022-01-07 14:14:00,2022-01-07 14:15:00,29,,202203,202205,202207,202209,202212,202303
2022-01-10,O,2022-01-09 20:00:00,2022-01-10 14:20:00,2022-01-10 14:14:00,2022-01-10 14:15:00,28,,202203,202205,202207,202209,202212,202303
2022-01-11,O,2022-01-10 20:00:00,2022-01-11 14:20:00,2022-01-11 14:14:00,2022-01-11 14:15:00,27,,202203,202205,202207,202209,202212,202303
2022-01-12,O,2022-01-11 20:00:00,2022-01-12 14:20:00,2022-01-12 14:14:00,2022-01-12 14:15:00,26,,202203,202205,202207,202209,202212,202303
2022-01-13,O,2022-01-12 20:00:00,2022-01-13 14:20:00,2022-01-13 14:14:00,2022-01-13 14:15:00,25,,202203,202205,202207,202209,202212,202303
2022-01-14,O,2022-01-13 20:00:00,2022-01-14 14:20:00,2022-01-14 14:14:00,2022-01-14 14:15:00,24,,202203,202205,202207,202209,202212,202303
2022-01-17,X,,,,,,,,,,,,
2022-01-18,O,2022-01-17 20:00:00,2022-01-18 14:20:00,2022-01-18 14:14:00,2022-01-18 14:15:00,23,,202203,202205,202207,202209,202212,202303
2022-01-19,O,2022-01-18 20:00:00,2022-01-19 14:20:00,2022-01-19 14:14:00,2022-01-19 14:15:00,22,,202203,202205,202207,202209,202212,202303
2022-01-20,O,2022-01-19 20:00:00,2022-01-20 14:20:00,2022-01-20 14:14:00,2022-01-20 14:15:00,21,,202203,202205,202207,202209,202212,202303
2022-01-21,O,2022-01-20 20:00:00,2022-01-21 14:20:00,2022-01-21 14:14:00,2022-01-21 14:15:00,20,,202203,202205,202207,202209,202212,202303
2022-01-24,O,2022-01-23 20:00:00,2022-01-24 14:20:00,2022-01-24 14:14:00,2022-01-24 14:15:00,19,,202203,202205,202207,202209,202212,202303
2022-01-25,O,2022-01-24 20:00:00,2022-01-25 14:20:00,2022-01-25 14:14:00,2022-01-25 14:15:00,18,,202203,202205,202207,202209,202212,202303
2022-01-26,O,2022-01-25 20:00:00,2022-01-26 14:20:00,2022-01-26 14:14:00,2022-01-26 14:15:00,17,,202203,202205,202207,202209,202212,202303
2022-01-27,O,2022-01-26 20:00:00,2022-01-27 14:20:00,2022-01-27 14:14:00,2022-01-27 14:15:00,16,,202203,202205,202207,202209,202212,202303
2022-01-28,O,2022-01-27 20:00:00,2022-01-28 14:20:00,2022-01-28 14:14:00,2022-01-28 14:15:00,15,,202203,202205,202207,202209,202212,202303
2022-01-31,O,2022-01-30 20:00:00,2022-01-31 14:20:00,2022-01-31 14:14:00,2022-01-31 14:15:00,14,,202203,202205,202207,202209,202212,202303
2022-02-01,O,2022-01-31 20:00:00,2022-02-01 14:20:00,2022-02-01 14:14:00,2022-02-01 14:15:00,13,,202203,202205,202207,202209,202212,202303
2022-02-02,O,2022-02-01 20:00:00,2022-02-02 14:20:00,2022-02-02 14:14:00,2022-02-02 14:15:00,12,,202203,202205,202207,202209,202212,202303
2022-02-03,O,2022-02-02 20:00:00,2022-02-03 14:20:00,2022-02-03 14:14:00,2022-02-03 14:15:00,11,,202203,202205,202207,202209,202212,202303
2022-02-04,O,2022-02-03 20:00:00,2022-02-04 14:20:00,2022-02-04 14:14:00,2022-02-04 14:15:00,10,,202203,202205,202207,202209,202212,202303
2022-02-07,O,2022-02-06 20:00:00,2022-02-07 14:20:00,2022-02-07 14:14:00,2022-02-07 14:15:00,9,,202203,202205,202207,202209,202212,202303
2022-02-08,O,2022-02-07 20:00:00,2022-02-08 14:20:00,2022-02-08 14:14:00,2022-02-08 14:15:00,8,,202203,202205,202207,202209,202212,202303
2022-02-09,O,2022-02-08 20:00:00,2022-02-09 14:20:00,2022-02-09 14:14:00,2022-02-09 14:15:00,7,,202203,202205,202207,202209,202212,202303
2022-02-10,O,2022-02-09 20:00:00,2022-02-10 14:20:00,2022-02-10 14:14:00,2022-02-10 14:15:00,6,,202203,202205,202207,202209,202212,202303
2022-02-11,O,2022-02-10 20:00:00,2022-02-11 14:20:00,2022-02-11 14:14:00,2022-02-11 14:15:00,5,,202203,202205,202207,202209,202212,202303
2022-02-14,O,2022-02-13 20:00:00,2022-02-14 14:20:00,2022-02-14 14:14:00,2022-02-14 14:15:00,4,,202203,202205,202207,202209,202212,202303
2022-02-15,O,2022-02-14 20:00:00,2022-02-15 14:20:00,2022-02-15 14:14:00,2022-02-15 14:15:00,3,,202203,202205,202207,202209,202212,202303
2022-02-16,O,2022-02-15 20:00:00,2022-02-16 14:20:00,2022-02-16 14:14:00,2022-02-16 14:15:00,2,,202203,202205,202207,202209,202212,202303
2022-02-17,O,2022-02-16 20:00:00,2022-02-17 14:20:00,2022-02-17 14:14:00,2022-02-17 14:15:00,1,,202203,202205,202207,202209,202212,202303
2022-02-18,O,2022-02-17 20:00:00,2022-02-18 14:20:00,2022-02-18 14:14:00,2022-02-18 14:15:00,0,,202203,202205,202207,202209,202212,202303
2022-02-21,X,,,,,,,,,,,,
2022-02-22,O,2022-02-21 20:00:00,2022-02-22 14:20:00,2022-02-22 14:14:00,2022-02-22 14:15:00,42,202203,202205,202207,202209,202212,202303,202305
2022-02-23,O,2022-02-22 20:00:00,2022-02-23 14:20:00,2022-02-23 14:14:00,2022-02-23 14:15:00,41,202203,202205,202207,202209,202212,202303,202305
2022-02-24,O,2022-02-23 20:00:00,2022-02-24 14:20:00,2022-02-24 14:14:00,2022-02-24 14:15:00,40,202203,202205,202207,202209,202212,202303,202305
2022-02-25,O,2022-02-24 20:00:00,2022-02-25 14:20:00,2022-02-25 14:14:00,2022-02-25 14:15:00,39,202203,202205,202207,202209,202212,202303,202305
2022-02-28,O,2022-02-27 20:00:00,2022-02-28 14:20:00,2022-02-28 14:14:00,2022-02-28 14:15:00,38,202203,202205,202207,202209,202212,202303,202305
2022-03-01,O,2022-02-28 20:00:00,2022-03-01 14:20:00,2022-03-01 14:14:00,2022-03-01 14:15:00,37,202203,202205,202207,202209,202212,202303,202305
2022-03-02,O,2022-03-01 20:00:00,2022-03-02 14:20:00,2022-03-02 14:14:00,2022-03-02 14:15:00,36,202203,202205,202207,202209,202212,202303,202305
