date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Soybeans_N0,Soybeans_N1,Soybeans_N2,Soybeans_N3,Soybeans_N4,Soybeans_N5,Soybeans_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-01 20:00:00,1990-01-02 14:20:00,1990-01-02 14:14:00,1990-01-02 14:15:00,35,199001,199003,199005,199007,199011,199101,199103
1990-01-03,O,1990-01-02 20:00:00,1990-01-03 14:20:00,1990-01-03 14:14:00,1990-01-03 14:15:00,34,199001,199003,199005,199007,199011,199101,199103
1990-01-04,O,1990-01-03 20:00:00,1990-01-04 14:20:00,1990-01-04 14:14:00,1990-01-04 14:15:00,33,199001,199003,199005,199007,199011,199101,199103
1990-01-05,O,1990-01-04 20:00:00,1990-01-05 14:20:00,1990-01-05 14:14:00,1990-01-05 14:15:00,32,199001,199003,199005,199007,199011,199101,199103
1990-01-08,O,1990-01-07 20:00:00,1990-01-08 14:20:00,1990-01-08 14:14:00,1990-01-08 14:15:00,31,199001,199003,199005,199007,199011,199101,199103
1990-01-09,O,1990-01-08 20:00:00,1990-01-09 14:20:00,1990-01-09 14:14:00,1990-01-09 14:15:00,30,199001,199003,199005,199007,199011,199101,199103
1990-01-10,O,1990-01-09 20:00:00,1990-01-10 14:20:00,1990-01-10 14:14:00,1990-01-10 14:15:00,29,199001,199003,199005,199007,199011,199101,199103
1990-01-11,O,1990-01-10 20:00:00,1990-01-11 14:20:00,1990-01-11 14:14:00,1990-01-11 14:15:00,28,199001,199003,199005,199007,199011,199101,199103
1990-01-12,O,1990-01-11 20:00:00,1990-01-12 14:20:00,1990-01-12 14:14:00,1990-01-12 14:15:00,27,199001,199003,199005,199007,199011,199101,199103
1990-01-15,O,1990-01-14 20:00:00,1990-01-15 14:20:00,1990-01-15 14:14:00,1990-01-15 14:15:00,26,199001,199003,199005,199007,199011,199101,199103
1990-01-16,O,1990-01-15 20:00:00,1990-01-16 14:20:00,1990-01-16 14:14:00,1990-01-16 14:15:00,25,199001,199003,199005,199007,199011,199101,199103
1990-01-17,O,1990-01-16 20:00:00,1990-01-17 14:20:00,1990-01-17 14:14:00,1990-01-17 14:15:00,24,199001,199003,199005,199007,199011,199101,199103
1990-01-18,O,1990-01-17 20:00:00,1990-01-18 14:20:00,1990-01-18 14:14:00,1990-01-18 14:15:00,23,199001,199003,199005,199007,199011,199101,199103
1990-01-19,O,1990-01-18 20:00:00,1990-01-19 14:20:00,1990-01-19 14:14:00,1990-01-19 14:15:00,22,199001,199003,199005,199007,199011,199101,199103
1990-01-22,O,1990-01-21 20:00:00,1990-01-22 14:20:00,1990-01-22 14:14:00,1990-01-22 14:15:00,21,199001,199003,199005,199007,199011,199101,199103
1990-01-23,O,1990-01-22 20:00:00,1990-01-23 14:20:00,1990-01-23 14:14:00,1990-01-23 14:15:00,20,,199003,199005,199007,199011,199101,199103
1990-01-24,O,1990-01-23 20:00:00,1990-01-24 14:20:00,1990-01-24 14:14:00,1990-01-24 14:15:00,19,,199003,199005,199007,199011,199101,199103
1990-01-25,O,1990-01-24 20:00:00,1990-01-25 14:20:00,1990-01-25 14:14:00,1990-01-25 14:15:00,18,,199003,199005,199007,199011,199101,199103
1990-01-26,O,1990-01-25 20:00:00,1990-01-26 14:20:00,1990-01-26 14:14:00,1990-01-26 14:15:00,17,,199003,199005,199007,199011,199101,199103
1990-01-29,O,1990-01-28 20:00:00,1990-01-29 14:20:00,1990-01-29 14:14:00,1990-01-29 14:15:00,16,,199003,199005,199007,199011,199101,199103
1990-01-30,O,1990-01-29 20:00:00,1990-01-30 14:20:00,1990-01-30 14:14:00,1990-01-30 14:15:00,15,,199003,199005,199007,199011,199101,199103
1990-01-31,O,1990-01-30 20:00:00,1990-01-31 14:20:00,1990-01-31 14:14:00,1990-01-31 14:15:00,14,,199003,199005,199007,199011,199101,199103
1990-02-01,O,1990-01-31 20:00:00,1990-02-01 14:20:00,1990-02-01 14:14:00,1990-02-01 14:15:00,13,,199003,199005,199007,199011,199101,199103
1990-02-02,O,1990-02-01 20:00:00,1990-02-02 14:20:00,1990-02-02 14:14:00,1990-02-02 14:15:00,12,,199003,199005,199007,199011,199101,199103
1990-02-05,O,1990-02-04 20:00:00,1990-02-05 14:20:00,1990-02-05 14:14:00,1990-02-05 14:15:00,11,,199003,199005,199007,199011,199101,199103
1990-02-06,O,1990-02-05 20:00:00,1990-02-06 14:20:00,1990-02-06 14:14:00,1990-02-06 14:15:00,10,,199003,199005,199007,199011,199101,199103
1990-02-07,O,1990-02-06 20:00:00,1990-02-07 14:20:00,1990-02-07 14:14:00,1990-02-07 14:15:00,9,,199003,199005,199007,199011,199101,199103
1990-02-08,O,1990-02-07 20:00:00,1990-02-08 14:20:00,1990-02-08 14:14:00,1990-02-08 14:15:00,8,,199003,199005,199007,199011,199101,199103
1990-02-09,O,1990-02-08 20:00:00,1990-02-09 14:20:00,1990-02-09 14:14:00,1990-02-09 14:15:00,7,,199003,199005,199007,199011,199101,199103
1990-02-12,O,1990-02-11 20:00:00,1990-02-12 14:20:00,1990-02-12 14:14:00,1990-02-12 14:15:00,6,,199003,199005,199007,199011,199101,199103
1990-02-13,O,1990-02-12 20:00:00,1990-02-13 14:20:00,1990-02-13 14:14:00,1990-02-13 14:15:00,5,,199003,199005,199007,199011,199101,199103
1990-02-14,O,1990-02-13 20:00:00,1990-02-14 14:20:00,1990-02-14 14:14:00,1990-02-14 14:15:00,4,,199003,199005,199007,199011,199101,199103
1990-02-15,O,1990-02-14 20:00:00,1990-02-15 14:20:00,1990-02-15 14:14:00,1990-02-15 14:15:00,3,,199003,199005,199007,199011,199101,199103
1990-02-16,O,1990-02-15 20:00:00,1990-02-16 14:20:00,1990-02-16 14:14:00,1990-02-16 14:15:00,2,,199003,199005,199007,199011,199101,199103
1990-02-19,X,,,,,,,,,,,,
1990-02-20,O,1990-02-19 20:00:00,1990-02-20 14:20:00,1990-02-20 14:14:00,1990-02-20 14:15:00,1,,199003,199005,199007,199011,199101,199103
1990-02-21,O,1990-02-20 20:00:00,1990-02-21 14:20:00,1990-02-21 14:14:00,1990-02-21 14:15:00,0,,199003,199005,199007,199011,199101,199103
1990-02-22,O,1990-02-21 20:00:00,1990-02-22 14:20:00,1990-02-22 14:14:00,1990-02-22 14:15:00,41,199003,199005,199007,199011,199101,199103,199105
1990-02-23,O,1990-02-22 20:00:00,1990-02-23 14:20:00,1990-02-23 14:14:00,1990-02-23 14:15:00,40,199003,199005,199007,199011,199101,199103,199105
1990-02-26,O,1990-02-25 20:00:00,1990-02-26 14:20:00,1990-02-26 14:14:00,1990-02-26 14:15:00,39,199003,199005,199007,199011,199101,199103,199105
